Date,Region T,Point T,Baikal T,Baikal excluded T,South Baikal T,South Baikal excluded T,Near upwelling T
2011-06-29,3.20481918140405,3.437754548852695,1.5373160697612054,1.4136663182901708,1.5853702031426837,1.4647264444135493,0.6429375808381823
2011-06-30,4.753319253979048,5.214650375470512,4.542915406328343,4.53327541301918,4.672659438125086,4.66799779854962,3.507486031883056
2011-07-08,5.025116072995536,,5.081878278818686,5.084387096642376,4.756307339996945,4.740847261803962,5.445475171482519
2011-07-15,14.106944024332181,13.936574828047128,14.616972906068447,14.655130262960762,14.628653445214754,14.66781050770405,13.975095713166203
2011-07-16,13.833806838515127,15.230936619474278,12.90960499416006,12.867035634080944,13.470977560852,13.450027879577554,13.475553970861819
2011-07-24,9.530640348880546,8.427938189512247,10.967367056844369,11.030763449641508,10.49444279637804,10.549879716627537,9.852717666160341
2011-07-31,8.75339201086388,7.532193881479998,5.75799430084807,5.534538952277947,5.753137679191046,5.528545242197556,9.081013108391177
2011-08-01,10.523617246078945,10.486935791196743,11.629581386005823,11.68040898761099,11.400201395550814,11.450840256198463,10.099973332899681
2011-08-08,10.579444697239937,10.5628961846719,11.134050434172888,11.181787054510352,11.135293413254844,11.183226096596126,10.154689556368284
2011-08-09,4.581906805073382,,2.6082063399355815,2.5214126187343755,1.1117641458359995,0.9121699051994258,3.1218289188392645
2011-08-17,12.485298320956593,12.710712450978463,13.661564316576493,13.715230604988822,13.35749284631195,13.40786501872331,12.2512277433554
2011-09-01,4.66974906876681,0.085894305381089,6.1417241827907585,6.25257249708458,6.130960589433496,6.24123167910105,9.191447468756442
2011-09-02,6.931364091653356,8.792912459444096,1.3365290639201217,1.080632615268847,1.889965261843504,1.5992514832453666,6.183299564279841
2011-09-09,10.526616753798313,11.062953201047321,9.646085212448725,9.569450712029383,9.64626608949477,9.569559990473508,10.310476332554174
2011-09-10,11.021100519199774,12.115062828643943,10.056628321013905,10.013989236187442,10.323949931614825,10.283860258264742,10.861373845689887
2011-09-18,7.061342002512022,6.899932701280477,8.408181708266829,8.469821496441686,8.242341270797588,8.310512669824844,7.733703966927691
2011-09-25,-0.8430658986959962,6.304623047093344,2.836301297276521,3.1501826248687568,2.8595661259096246,3.1762609923153358,-1.0433823726057927
2011-10-03,7.536566023563019,7.456162274376084,7.716207828150517,7.73009877325293,7.715828630610719,7.729693369660859,7.834093281831281
2011-10-04,6.688130586865759,5.84882187684957,4.741420858373429,4.652298819506353,6.7559885925469505,6.759927609296063,7.113975391647185
2011-10-11,6.957306294680279,7.920058990375253,7.360776233938323,7.394419834758815,7.354281041995862,7.387580310660251,7.413054351162636
2011-10-27,5.807621221006519,5.319403825486347,5.824273129534324,5.825704182122195,5.823031651878411,5.82435856953536,5.982390228268975
2011-11-04,3.8813498771956305,,4.076807640370711,4.090862559645141,4.062072640943683,4.075218582405466,4.144589545801983
2011-11-05,4.644201943883014,4.996650487585612,4.79699276567453,4.803987812367179,4.725331623019558,4.7300204915135255,4.789569429240455
