DateTime|SurfTermo|TermoSBE|ConductSBE|ScSBE|Lat|Lon|Speed|Cours
10.08.2021  14:20:16|-100.000|011.898|007.41515|116.80975|51.672363|104.957901|007.84|148.20
10.08.2021  14:20:24|-100.000|011.896|007.41517|116.84760|51.672123|104.958145|007.68|147.90
10.08.2021  14:20:29|-100.000|011.902|007.41513|116.76251|51.671970|104.958290|007.73|148.40
10.08.2021  14:20:37|-100.000|011.880|007.41511|116.79840|51.671726|104.958549|007.86|147.50
10.08.2021  14:20:42|-100.000|011.905|007.41513|116.75320|51.671570|104.958710|007.92|146.60
10.08.2021  14:20:50|-100.000|011.891|007.41519|116.89543|51.671326|104.958961|007.83|147.40
10.08.2021  14:20:55|-100.000|011.899|007.41515|116.80409|51.671173|104.959114|007.85|147.80
10.08.2021  14:21:03|-100.000|011.884|007.41511|116.78752|51.670925|104.959373|007.87|146.20
10.08.2021  14:21:08|-100.000|011.842|007.41510|116.90234|51.670776|104.959534|007.79|146.10
10.08.2021  14:21:16|-100.000|011.930|007.41521|116.80517|51.670540|104.959785|007.85|146.80
10.08.2021  14:21:21|-100.000|011.962|007.41526|116.78422|51.670380|104.959946|007.88|147.20
10.08.2021  14:21:29|-100.000|011.918|007.41525|116.90651|51.670139|104.960205|007.88|146.30
10.08.2021  14:21:34|-100.000|011.897|007.41513|116.77775|51.669983|104.960365|007.90|147.00
10.08.2021  14:21:42|-100.000|011.900|007.41517|116.83527|51.669731|104.960609|007.94|148.60
10.08.2021  14:21:47|-100.000|011.923|007.41517|116.76291|51.669571|104.960770|007.96|148.20
10.08.2021  14:21:55|-100.000|011.852|007.41511|116.88868|51.669327|104.961006|007.86|148.70
10.08.2021  14:22:00|-100.000|011.887|007.41511|116.77906|51.669178|104.961159|007.85|147.80
10.08.2021  14:22:08|-100.000|011.844|007.41503|116.78330|51.668922|104.961418|007.86|148.10
10.08.2021  14:22:13|-100.000|011.808|007.41487|116.63595|51.668774|104.961571|007.83|147.00
10.08.2021  14:22:21|-100.000|011.813|007.41500|116.83425|51.668518|104.961807|008.03|150.20
10.08.2021  14:22:26|-100.000|011.800|007.41494|116.77701|51.668354|104.961967|007.99|148.20
10.08.2021  14:22:31|-100.000|011.778|007.41492|116.81359|51.668194|104.962120|007.96|148.70
10.08.2021  14:22:39|-100.000|011.791|007.41487|116.69005|51.667942|104.962349|007.93|149.70
10.08.2021  14:22:47|-100.000|011.742|007.41485|116.81389|51.667686|104.962585|007.91|150.10
10.08.2021  14:22:52|-100.000|011.766|007.41489|116.80180|51.667530|104.962723|007.87|150.80
10.08.2021  14:22:59|-100.000|011.788|007.41490|116.74865|51.667316|104.962921|007.89|150.50
10.08.2021  14:23:05|-100.000|011.797|007.41487|116.67112|51.667114|104.963104|007.89|149.90
10.08.2021  14:23:13|-100.000|011.826|007.41498|116.76017|51.666866|104.963341|007.81|150.30
10.08.2021  14:23:17|-100.000|011.802|007.41495|116.78617|51.666744|104.963448|007.89|150.50
10.08.2021  14:23:26|-100.000|011.806|007.41492|116.72353|51.666447|104.963730|008.01|149.70
10.08.2021  14:23:31|-100.000|011.783|007.41487|116.71677|51.666290|104.963875|007.93|149.40
10.08.2021  14:23:39|-100.000|011.758|007.41480|116.68190|51.666050|104.964119|007.73|147.80
10.08.2021  14:23:44|-100.000|011.768|007.41483|116.69924|51.665901|104.964272|007.77|147.90
10.08.2021  14:23:52|-100.000|011.763|007.41481|116.68116|51.665653|104.964523|007.89|147.60
10.08.2021  14:23:57|-100.000|011.750|007.41479|116.69162|51.665497|104.964676|007.87|147.20
10.08.2021  14:24:05|-100.000|011.727|007.41479|116.76369|51.665253|104.964928|007.93|147.20
