Time,T,Lat,Lon
2021-05-25 18:42:01,2.5683,51.896156,105.098007
2021-05-25 18:57:03,2.2688,51.887924,105.153023
2021-05-25 19:12:08,2.3292,51.897236,105.206261
2021-05-25 19:27:10,2.3478,51.909248,105.258759
2021-05-25 19:42:15,2.3639,51.920834,105.312088
2021-05-25 19:57:17,2.4559,51.930279,105.366447
2021-05-25 20:12:18,2.3965,51.947372,105.415512
2021-05-25 20:27:20,2.3783,51.965469,105.464027
2021-05-25 20:42:25,2.3881,51.98296,105.513664
2021-05-25 20:57:27,2.2462,52.000362,105.563301
2021-05-25 21:12:32,2.5608,52.018219,105.61232
2021-05-25 21:27:34,2.2295,52.0369,105.66066
2021-05-25 21:42:39,2.4685,52.05513,105.709366
2021-05-25 21:57:41,2.4911,52.069183,105.759834
2021-05-25 22:12:42,2.3124,52.087475,105.807991
2021-05-25 22:27:44,2.362,52.105141,105.857651
2021-05-25 22:42:49,1.8903,52.123989,105.906158
2021-05-25 22:57:51,1.2269,52.142281,105.95388
2021-05-25 23:12:56,1.2536,52.16304,105.99939
2021-05-25 23:27:58,0.942,52.163635,106.041664
2021-05-25 23:43:03,0.8793,52.148956,106.080147
2021-05-25 23:58:05,0.8811,52.15292,106.08223
2021-05-26 00:13:06,0.8871,52.156868,106.084839
2021-05-26 00:28:08,0.9399,52.160431,106.08741
2021-05-26 00:43:13,0.8973,52.149136,106.080643
2021-05-26 00:58:15,0.8834,52.152348,106.083786
2021-05-26 01:13:20,1.3555,52.142666,106.125122
2021-05-26 01:28:22,1.4897,52.135578,106.147095
2021-05-26 01:43:27,1.5081,52.13966,106.150406
2021-05-26 01:58:29,1.5059,52.143681,106.152367
2021-05-26 02:13:34,1.1187,52.17276,106.14183
2021-05-26 02:28:36,0.8287,52.206295,106.132172
2021-05-26 02:43:41,1.256,52.239063,106.149666
2021-05-26 02:58:43,1.0367,52.261578,106.189812
2021-05-26 03:13:48,1.7946,52.267376,106.206947
2021-05-26 03:28:50,1.7267,52.267628,106.20665
2021-05-26 03:43:55,1.7051,52.26762,106.20665
2021-05-26 03:58:57,1.6519,52.267483,106.206841
2021-05-26 04:14:02,1.6055,52.267384,106.206963
2021-05-26 04:29:04,1.5923,52.267403,106.206955
2021-05-26 04:44:09,1.5851,52.267544,106.206802
2021-05-26 04:59:11,1.6039,52.267445,106.206924
2021-05-26 05:14:16,1.6317,52.267467,106.206917
2021-05-26 05:29:18,1.5748,52.267479,106.206909
2021-05-26 05:44:23,1.5584,52.267487,106.206917
2021-05-26 05:59:25,1.5672,52.267387,106.206825
2021-05-26 06:14:30,1.9308,52.27813,106.220192
2021-05-26 06:29:32,1.4323,52.289063,106.228989
2021-05-26 06:44:37,1.4652,52.291275,106.23304
2021-05-26 06:59:39,1.7156,52.293213,106.238136
2021-05-26 07:14:44,0.9891,52.290543,106.210815
2021-05-26 07:29:46,0.9776,52.292961,106.209747
2021-05-26 07:44:51,0.9763,52.298416,106.200256
2021-05-26 09:48:08,2.2914,52.360348,106.336136
2021-05-26 10:03:10,1.6896,52.362537,106.336464
2021-05-26 10:18:15,1.5449,52.372108,106.318268
2021-05-26 10:33:17,1.2961,52.370987,106.320999
2021-05-26 10:48:22,1.5123,52.374874,106.3209
2021-05-26 11:03:24,1.6946,52.383591,106.299637
2021-05-26 11:18:29,1.6808,52.385242,106.302696
2021-05-26 11:33:31,2.0224,52.394905,106.278145
2021-05-26 11:48:36,2.0912,52.39642,106.279335
2021-05-26 12:03:38,2.1412,52.3997,106.285477
2021-05-26 12:18:43,1.8525,52.407787,106.341721
2021-05-26 12:33:45,1.8498,52.41671,106.398773
2021-05-26 12:48:50,1.893,52.413509,106.458725
2021-05-26 13:03:52,1.9297,52.41024,106.514359
2021-05-26 13:18:57,1.9479,52.40976,106.519623
2021-05-26 13:33:59,1.9277,52.41098,106.523926
2021-05-26 13:49:04,1.9494,52.41238,106.527786
2021-05-26 14:04:06,1.8665,52.419437,106.496155
2021-05-26 14:19:11,1.8743,52.420753,106.497948
2021-05-26 14:34:14,1.9384,52.42194,106.499992
2021-05-26 14:49:19,1.974,52.424065,106.50412
2021-05-26 15:04:20,2.0234,52.426025,106.506882
2021-05-26 15:19:25,2.0577,52.428955,106.498711
2021-05-26 15:34:27,2.0254,52.429901,106.476593
2021-05-26 15:49:32,2.0443,52.430649,106.48011
2021-05-26 16:04:35,2.0259,52.43137,106.484955
2021-05-26 16:19:40,2.0966,52.433235,106.491135
2021-05-26 16:34:42,2.007,52.440472,106.54525
2021-05-26 16:49:47,2.2193,52.446838,106.602684
