Time,T,Lat,Lon,Image Time,Image T,MODIS
2022-06-10 00:06:36+08:00,3.2005,55.573746,109.593002,2022-06-10 00:11:00+08:00,3.230000000000018,MOD21_Aqua_night
2023-09-19 01:47:14+08:00,14.6521,51.706158,103.99675,2023-09-19 02:01:00+08:00,15.230000000000018,MOD21_Terra_night
2024-07-30 00:26:00+08:00,16.32605,53.19442,107.80708,2024-07-30 00:12:00+08:00,16.930000000000007,MOD21_Aqua_night
2021-08-11 00:01:43+08:00,12.2533,51.635704,104.242134,2021-08-11 00:07:00+08:00,8.190000000000055,MOD21_Aqua_night
2021-07-30 00:10:42+08:00,13.3637,54.285492,108.739738,2021-07-30 00:14:00+08:00,10.210000000000036,MOD21_Aqua_night
2022-08-03 00:14:24+08:00,9.3831,54.452904,109.068367,2022-08-03 00:16:00+08:00,11.390000000000043,MOD21_Aqua_night
2024-09-20 00:09:00+08:00,11.84745,51.63175,105.07481,2024-09-20 00:16:00+08:00,9.390000000000043,MOD21_Aqua_night
2022-08-07 01:51:58+08:00,12.7243,53.378574,107.675133,2022-08-07 02:04:00+08:00,7.910000000000025,MOD21_Terra_night
2021-06-13 00:07:01+08:00,2.5286,53.443573,107.675156,2021-06-13 00:09:00+08:00,1.6300000000000523,MOD21_Aqua_night
2021-07-28 00:14:44+08:00,15.9786,52.501904,106.371452,2021-07-28 00:15:00+08:00,16.49000000000001,MOD21_Aqua_night
2024-06-04 00:24:00+08:00,2.7584,52.45832,106.073,2024-06-04 00:10:00+08:00,3.2100000000000364,MOD21_Aqua_night
2021-08-05 01:58:59+08:00,14.3165,51.601765,105.139229,2021-08-05 02:09:00+08:00,15.29000000000002,MOD21_Terra_night
2024-05-31 00:10:00+08:00,2.75846,51.56598,104.2299,2024-05-31 00:13:00+08:00,1.670000000000016,MOD21_Aqua_night
2023-10-22 00:02:46+08:00,9.8165,54.358044,109.294853,2023-10-22 00:11:00+08:00,8.03000000000003,MOD21_Aqua_night
2022-08-01 01:57:25+08:00,10.9799,52.799393,107.125839,2022-08-01 02:08:00+08:00,11.970000000000027,MOD21_Terra_night
2021-10-22 02:06:05+08:00,7.3867,51.915283,105.216095,2021-10-22 02:10:00+08:00,4.830000000000041,MOD21_Terra_night
2022-08-06 00:00:54+08:00,15.225,53.555428,108.55761,2022-08-06 00:09:00+08:00,12.230000000000018,MOD21_Aqua_night
2023-09-20 00:06:33+08:00,14.6968,51.576668,105.061859,2023-09-20 00:15:00+08:00,15.470000000000027,MOD21_Aqua_night
2023-09-21 01:55:23+08:00,14.558,51.894974,105.239128,2023-09-21 02:00:00+08:00,14.730000000000018,MOD21_Terra_night
2024-08-05 00:03:00+08:00,19.4842,53.63524,108.12422,2024-08-05 00:16:00+08:00,20.03000000000003,MOD21_Aqua_night
2023-10-21 01:57:08+08:00,8.6726,53.890751,108.203346,2023-10-21 02:04:00+08:00,8.590000000000032,MOD21_Terra_night
2022-09-27 02:06:34+08:00,9.8846,55.49078,109.379738,2022-09-27 02:07:00+08:00,9.210000000000036,MOD21_Terra_night
2021-07-23 23:53:23+08:00,11.5153,51.672298,103.880096,2021-07-24 00:08:00+08:00,12.710000000000036,MOD21_Aqua_night
2024-06-01 01:51:00+08:00,2.99806,51.63314,105.3963,2024-06-01 01:59:00+08:00,2.150000000000034,MOD21_Terra_night
2021-08-14 00:03:51+08:00,15.9438,53.491127,108.632797,2021-08-14 00:10:00+08:00,16.730000000000018,MOD21_Aqua_night
2021-07-24 01:53:51+08:00,12.0142,51.649261,103.85083,2021-07-24 02:07:00+08:00,16.130000000000052,MOD21_Terra_night
2024-08-03 00:27:00+08:00,16.3324,55.23049,109.49575,2024-08-03 00:18:00+08:00,15.670000000000016,MOD21_Aqua_night
2021-06-10 01:53:04+08:00,1.9211,54.461689,109.28788,2021-06-10 02:04:00+08:00,-3.109999999999957,MOD21_Terra_night
2021-08-15 23:58:03+08:00,19.395,55.359882,109.752892,2021-08-16 00:09:00+08:00,17.410000000000025,MOD21_Aqua_night
2023-07-19 00:06:10+08:00,10.5053,51.780933,104.883057,2023-07-19 00:16:00+08:00,11.33000000000004,MOD21_Aqua_night
2021-07-09 23:54:19+08:00,4.1195,51.57597,104.250214,2021-07-10 00:07:00+08:00,5.210000000000036,MOD21_Aqua_night
2021-08-18 23:57:20+08:00,8.3402,52.623333,107.33326,2021-08-19 00:12:00+08:00,12.590000000000032,MOD21_Aqua_night
2022-08-08 01:57:34+08:00,10.6772,52.564335,106.367691,2022-08-08 02:09:00+08:00,14.450000000000044,MOD21_Terra_night
2024-09-24 01:58:00+08:00,11.9238,52.74267,107.63725,2024-09-24 02:00:00+08:00,11.550000000000011,MOD21_Terra_night
2024-06-11 23:58:00+08:00,3.094489,53.44521,107.6774,2024-06-12 00:13:00+08:00,1.57000000000005,MOD21_Aqua_night
2023-07-18 01:48:20+08:00,13.5373,51.552505,105.003426,2023-07-18 02:00:00+08:00,14.450000000000044,MOD21_Terra_night
2024-05-30 01:55:00+08:00,3.07393,51.89953,105.0643,2024-05-30 02:01:00+08:00,6.510000000000048,MOD21_Terra_night
2021-07-31 02:01:41+08:00,12.9022,55.324104,109.480698,2021-07-31 02:07:00+08:00,12.170000000000016,MOD21_Terra_night
2024-07-31 01:57:00+08:00,20.2128,53.99294,109.20004,2024-07-31 02:05:00+08:00,19.27000000000004,MOD21_Terra_night
2022-06-06 01:56:45+08:00,2.8589,52.83234,107.426132,2022-06-06 02:03:00+08:00,-0.169999999999959,MOD21_Terra_night
2021-08-20 02:03:11+08:00,12.1579,52.222225,106.076134,2021-08-20 02:05:00+08:00,12.710000000000036,MOD21_Terra_night
